idr_name	NAME	deplete
>sp|P19532|TFE3_HUMAN.diso:2	P19532	1
>sp|Q5T5Y3|CAMP1_HUMAN.diso:6	Q5T5Y3	0
>sp|O43525|KCNQ3_HUMAN.diso:3	O43525	0
>sp|Q8N9Y4|F181A_HUMAN.diso:4	Q8N9Y4	0
>sp|Q14680|MELK_HUMAN.diso:2	Q14680	0
>sp|Q3MIN7|RGL3_HUMAN.diso:9	Q3MIN7	0
>sp|Q6VAB6|KSR2_HUMAN.diso:3	Q6VAB6	0
>sp|P15336|ATF2_HUMAN.diso:3	P15336	0
>sp|P17544|ATF7_HUMAN.diso:1	P17544	0
>sp|O60239|3BP5_HUMAN.diso:12	O60239	0
>sp|P28324|ELK4_HUMAN.diso:4	P28324	0
>sp|P41970|ELK3_HUMAN.diso:2	P41970	0
>sp|Q5JYT7|K1755_HUMAN.diso:2	Q5JYT7	0
>sp|Q4AC94|C2CD3_HUMAN.diso:12	Q4AC94	0
>sp|O15482|TEX28_HUMAN.diso:1	O15482	0
>sp|Q5VWP3|MLIP_HUMAN.diso:1	Q5VWP3	0
>sp|A8MWP4|YU008_HUMAN.diso:1	A8MWP4	0
>sp|Q4ZG55|GREB1_HUMAN.diso:8	Q4ZG55	0
>sp|Q9NRR4|RNC_HUMAN.diso:1	Q9NRR4	0
>sp|Q7L0R7|RNF44_HUMAN.diso:1	Q7L0R7	0
>sp|P0DJG4|THEGL_HUMAN.diso:1	P0DJG4	0
>sp|Q52LW3|RHG29_HUMAN.diso:7	Q52LW3	0
>sp|A6PVS8|LRIQ3_HUMAN.diso:3	A6PVS8	0
>sp|Q15431|SYCP1_HUMAN.diso:1	Q15431	0
>sp|Q9NU63|ZFP57_HUMAN.diso:1	Q9NU63	0
>sp|O14654|IRS4_HUMAN.diso:7	O14654	0
>sp|Q9NPF2|CHSTB_HUMAN.diso:1	Q9NPF2	0
>sp|P82979|SARNP_HUMAN.diso:1	P82979	0
>sp|Q16533|SNPC1_HUMAN.diso:6	Q16533	0
>sp|Q8N0Z3|SPICE_HUMAN.diso:1	Q8N0Z3	0
>sp|Q53EL9|SEZ6_HUMAN.diso:1	Q53EL9	0
>sp|P08574|CY1_HUMAN.diso:1	P08574	0
>sp|Q0D2I5|IFFO1_HUMAN.diso:1	Q0D2I5	0
>sp|Q8N6U2|CL033_HUMAN.diso:1	Q8N6U2	0
>sp|O95202|LETM1_HUMAN.diso:1	O95202	0
>sp|Q6PEX3|KR261_HUMAN.diso:1	Q6PEX3	0
>sp|Q96CW5|GCP3_HUMAN.diso:2	Q96CW5	0
>sp|O60512|B4GT3_HUMAN.diso:1	O60512	0
>sp|Q3V5L5|MGT5B_HUMAN.diso:1	Q3V5L5	0
>sp|P0DMC3|ELA_HUMAN.diso:1	P0DMC3	0
>sp|Q8NCH0|CHSTE_HUMAN.diso:1	Q8NCH0	0
>sp|O60308|CE104_HUMAN.diso:4	O60308	0
>sp|A6NCI4|VWA3A_HUMAN.diso:3	A6NCI4	0
>sp|O95931|CBX7_HUMAN.diso:2	O95931	0
>sp|Q0ZGT2|NEXN_HUMAN.diso:2	Q0ZGT2	0
>sp|Q9HCF6|TRPM3_HUMAN.diso:2	Q9HCF6	0
>sp|A7KAX9|RHG32_HUMAN.diso:9	A7KAX9	0
>tr|A0A0G2JL52|A0A0G2JL52_HUMAN.diso:1	A0A0G2JL52	0
>tr|A0A140TA35|A0A140TA35_HUMAN.diso:1	A0A140TA35	0
>tr|A0A140TA36|A0A140TA36_HUMAN.diso:1	A0A140TA36	0
>tr|A0A0A0MTG1|A0A0A0MTG1_HUMAN.diso:1	A0A0A0MTG1	0
>sp|Q5ST30|SYVM_HUMAN.diso:1	Q5ST30	0
>sp|O75949|F155B_HUMAN.diso:6	O75949	0
>sp|P18887|XRCC1_HUMAN.diso:2	P18887	0
>sp|P62750|RL23A_HUMAN.diso:1	P62750	0
>sp|A4D2P6|GRD2I_HUMAN.diso:5	A4D2P6	0
>sp|Q5VUJ9|DRC8_HUMAN.diso:1	Q5VUJ9	0
>sp|Q92581|SL9A6_HUMAN.diso:1	Q92581	0
>sp|P49815|TSC2_HUMAN.diso:5	P49815	0
>sp|Q6P6C2|ALKB5_HUMAN.diso:2	Q6P6C2	0
>sp|Q6DT37|MRCKG_HUMAN.diso:20	Q6DT37	0
>sp|Q8N987|NECA1_HUMAN.diso:2	Q8N987	0
>sp|Q8NAX2|KDF1_HUMAN.diso:1	Q8NAX2	0
>sp|Q96QT6|PHF12_HUMAN.diso:2	Q96QT6	0
>sp|Q9Y3M9|ZN337_HUMAN.diso:3	Q9Y3M9	0
>sp|Q6QNY0|BL1S3_HUMAN.diso:1	Q6QNY0	0
>sp|Q6ZT52|FA43B_HUMAN.diso:4	Q6ZT52	0
>sp|P28223|5HT2A_HUMAN.diso:3	P28223	0
>sp|A6QL63|BTBDB_HUMAN.diso:3	A6QL63	0
>sp|Q8N2S1|LTBP4_HUMAN.diso:1	Q8N2S1	0
>sp|Q53SZ7|PRR30_HUMAN.diso:3	Q53SZ7	0
>sp|Q8N103|TAGAP_HUMAN.diso:2	Q8N103	0
>sp|P23443|KS6B1_HUMAN.diso:6	P23443	0
>sp|P0C7V6|SP202_HUMAN.diso:3	P0C7V6	0
>sp|Q3ZLR7|SP201_HUMAN.diso:5	Q3ZLR7	0
>sp|Q08AG5|ZN844_HUMAN.diso:16	Q08AG5	0
>sp|P16442|BGAT_HUMAN.diso:1	P16442	0
>sp|P02776|PLF4_HUMAN.diso:1	P02776	0
>sp|Q9H7Y0|DIK2B_HUMAN.diso:1	Q9H7Y0	0
>sp|Q8IXL7|MSRB3_HUMAN.diso:1	Q8IXL7	0
>sp|Q15070|OXA1L_HUMAN.diso:1	Q15070	0
>sp|Q6UXB4|CLC4G_HUMAN.diso:1	Q6UXB4	0
>sp|O75489|NDUS3_HUMAN.diso:1	O75489	0
>sp|Q9NY47|CA2D2_HUMAN.diso:1	Q9NY47	0
>sp|O43435|TBX1_HUMAN.diso:3	O43435	0
>sp|Q5TEA6|SE1L2_HUMAN.diso:1	Q5TEA6	0
>sp|Q2KJY2|KI26B_HUMAN.diso:5	Q2KJY2	0
>sp|O00469|PLOD2_HUMAN.diso:1	O00469	0
>sp|P30531|SC6A1_HUMAN.diso:1	P30531	0
>sp|Q96NA8|TSNA1_HUMAN.diso:3	Q96NA8	0
>sp|Q68BL8|OLM2B_HUMAN.diso:1	Q68BL8	0
>sp|E9PB15|PTG3L_HUMAN.diso:1	E9PB15	0
>sp|Q8NEZ4|KMT2C_HUMAN.diso:17	Q8NEZ4	0
>sp|C9JDP6|CLD25_HUMAN.diso:2	C9JDP6	0
>sp|Q8N2K1|UB2J2_HUMAN.diso:2	Q8N2K1	0
>sp|O95158|NXPH4_HUMAN.diso:1	O95158	0
>sp|Q8IYS5|OSCAR_HUMAN.diso:2	Q8IYS5	0
>sp|Q96HP0|DOCK6_HUMAN.diso:6	Q96HP0	0
>sp|Q12929|EPS8_HUMAN.diso:2	Q12929	0
>sp|P25021|HRH2_HUMAN.diso:4	P25021	0
>sp|Q9UL58|ZN215_HUMAN.diso:1	Q9UL58	0
>sp|Q15049|MLC1_HUMAN.diso:1	Q15049	0
>sp|Q96GZ6|S41A3_HUMAN.diso:1	Q96GZ6	0
>sp|Q92611|EDEM1_HUMAN.diso:2	Q92611	0
>sp|Q92917|GPKOW_HUMAN.diso:5	Q92917	0
>sp|Q5VXU9|SHOC1_HUMAN.diso:5	Q5VXU9	0
>sp|Q5I0G3|MDH1B_HUMAN.diso:1	Q5I0G3	0
>sp|Q96KN7|RPGR1_HUMAN.diso:16	Q96KN7	0
>sp|Q6ZN32|ETV3L_HUMAN.diso:3	Q6ZN32	0
>sp|Q9Y6K9|NEMO_HUMAN.diso:1	Q9Y6K9	0
