idr_name	NAME	deplete
Q5VUJ6_IDR_1_54	Q5VUJ6	0
Q8TD19_IDR_825_961	Q8TD19	0
Q9H425_IDR_129_306	Q9H425	0
Q8NBI5_IDR_214_268	Q8NBI5	0
P36941_IDR_369_411	P36941	0
P82912_IDR_37_70	P82912	0
Q96BY7_IDR_238_276	Q96BY7	0
Q9H5H4_IDR_1_262	Q9H5H4	1
Q6PGQ7_IDR_1_103	Q6PGQ7	0
Q9NP74_IDR_246_406	Q9NP74	0
Q6RW13_IDR_124_159	Q6RW13	0
Q86TC9_IDR_1_258	Q86TC9	0
Q9UKG1_IDR_464_496	Q9UKG1	0
Q9BY11_IDR_307_384	Q9BY11	0
O75970_IDR_1247_1328	O75970	0
P45844_IDR_350_394	P45844	0
Q5VST9_IDR_4780_4812	Q5VST9	0
Q969Z4_IDR_356_416	Q969Z4	0
O14867_IDR_654_718	O14867	1
Q96FA7_IDR_114_188	Q96FA7	0
Q8IYH5_IDR_1_491	Q8IYH5	0
Q8TAW3_IDR_99_172	Q8TAW3	0
Q8IY92_IDR_824_1750	Q8IY92	1
P29590_IDR_388_605	P29590	0
Q9UBW5_IDR_250_565	Q9UBW5	0
Q6PIV2_IDR_70_168	Q6PIV2	0
Q8N8K9_IDR_66_420	Q8N8K9	0
Q96BY7_IDR_1371_1448	Q96BY7	0
Q15906_IDR_225_258	Q15906	0
Q9UFD9_IDR_685_828	Q9UFD9	0
A6NJZ7_IDR_685_828	A6NJZ7	0
A6NNM3_IDR_681_828	A6NNM3	0
Q2WGJ9_IDR_1094_1134	Q2WGJ9	0
Q5T011_IDR_1158_1231	Q5T011	0
Q9NSY0_IDR_1_35	Q9NSY0	0
Q96Q91_IDR_1_51	Q96Q91	0
Q9Y6B7_IDR_576_619	Q9Y6B7	0
Q96T88_IDR_78_124	Q96T88	0
Q7Z7C7_IDR_205_247	Q7Z7C7	0
Q13651_IDR_260_477	Q13651	0
Q2VWP7_IDR_1089_1150	Q2VWP7	0
Q8TBP0_IDR_91_286	Q8TBP0	0
Q9NUP1_IDR_1_56	Q9NUP1	0
Q96DU7_IDR_333_385	Q96DU7	0
Q5TBA9_IDR_1743_1785	Q5TBA9	0
P0DP91_IDR_1_72	P0DP91	0
Q03468_IDR_1_91	Q03468	0
O94887_IDR_858_903	O94887	0
A2A288_IDR_46_83	A2A288	0
Q8IZ69_IDR_591_625	Q8IZ69	0
Q8WZ55_IDR_167_243	Q8WZ55	0
Q562E7_IDR_1522_1555	Q562E7	0
Q96HR8_IDR_1_169	Q96HR8	0
Q6ZMQ8_IDR_1253_1297	Q6ZMQ8	0
Q7Z6L1_IDR_402_482	Q7Z6L1	0
Q9UMX0_IDR_1_33	Q9UMX0	0
Q9H171_IDR_281_317	Q9H171	0
Q9BSJ8_IDR_604_634	Q9BSJ8	0
Q8IYI0_IDR_1_72	Q8IYI0	0
Q8N1F8_IDR_723_773	Q8N1F8	0
Q9H0E7_IDR_682_712	Q9H0E7	0
Q9UPU9_IDR_419_482	Q9UPU9	0
O00590_IDR_338_384	O00590	0
Q8NFA0_IDR_433_478	Q8NFA0	0
A8MW95_IDR_20_80	A8MW95	0
O94966_IDR_874_983	O94966	0
Q9H9B1_IDR_653_705	Q9H9B1	1
P16112_IDR_679_2281	P16112	0
Q9P2S6_IDR_370_444	Q9P2S6	0
O15432_IDR_56_86	O15432	0
Q9H6E5_IDR_227_317	Q9H6E5	0
Q6BDS2_IDR_1137_1184	Q6BDS2	0
Q12756_IDR_1402_1443	Q12756	0
O43283_IDR_1_111	O43283	0
Q58EX7_IDR_33_177	Q58EX7	0
Q8NB90_IDR_207_302	Q8NB90	0
Q96QT6_IDR_973_1004	Q96QT6	0
Q9Y397_IDR_297_364	Q9Y397	0
Q9H0F6_IDR_121_167	Q9H0F6	0
Q08050_IDR_684_715	Q08050	0
O75970_IDR_340_371	O75970	0
Q8NEB7_IDR_124_278	Q8NEB7	0
P43355_IDR_1_95	P43355	0
P43357_IDR_1_103	P43357	0
P43360_IDR_1_103	P43360	0
P43362_IDR_1_100	P43362	0
Q9UBF1_IDR_1_136	Q9UBF1	0
P43358_IDR_1_104	P43358	0
P43356_IDR_1_103	P43356	0
P43361_IDR_1_106	P43361	0
P43365_IDR_1_103	P43365	0
Q8TD91_IDR_313_449	Q8TD91	0
P43364_IDR_1_216	P43364	0
O15481_IDR_1_105	O15481	0
A8MXT2_IDR_1_105	A8MXT2	0
P43366_IDR_1_104	P43366	0
P43363_IDR_1_128	P43363	0
O14529_IDR_1224_1457	O14529	0
O94983_IDR_814_1022	O94983	0
O60732_IDR_1_901	O60732	0
O94983_IDR_447_490	O94983	0
Q5VST9_IDR_6770_7273	Q5VST9	0
Q93008_IDR_1_63	Q93008	1
O00507_IDR_1_64	O00507	0
Q2LD37_IDR_2929_2963	Q2LD37	0
Q6GYQ0_IDR_321_387	Q6GYQ0	0
