idr_name	GO0005730
Q5VUJ6_IDR_1_54	0
Q8TD19_IDR_825_961	0
Q9H425_IDR_129_306	0
Q8NBI5_IDR_214_268	0
P36941_IDR_369_411	0
P82912_IDR_37_70	0
Q96BY7_IDR_238_276	0
Q9H5H4_IDR_1_262	0
Q6PGQ7_IDR_1_103	0
Q9NP74_IDR_246_406	0
Q6RW13_IDR_124_159	0
Q86TC9_IDR_1_258	0
Q9UKG1_IDR_464_496	0
Q9BY11_IDR_307_384	0
O75970_IDR_1247_1328	0
P45844_IDR_350_394	0
Q5VST9_IDR_4780_4812	0
Q969Z4_IDR_356_416	0
O14867_IDR_654_718	0
Q96FA7_IDR_114_188	0
Q8IYH5_IDR_1_491	0
Q8TAW3_IDR_99_172	0
Q8IY92_IDR_824_1750	0
P29590_IDR_388_605	0
Q9UBW5_IDR_250_565	0
Q6PIV2_IDR_70_168	0
Q8N8K9_IDR_66_420	0
Q96BY7_IDR_1371_1448	0
Q15906_IDR_225_258	0
Q9UFD9_IDR_685_828	0
A6NJZ7_IDR_685_828	0
A6NNM3_IDR_681_828	0
Q2WGJ9_IDR_1094_1134	0
Q5T011_IDR_1158_1231	0
Q9NSY0_IDR_1_35	0
Q96Q91_IDR_1_51	0
Q9Y6B7_IDR_576_619	0
Q96T88_IDR_78_124	0
Q7Z7C7_IDR_205_247	0
Q13651_IDR_260_477	0
Q2VWP7_IDR_1089_1150	0
Q8TBP0_IDR_91_286	0
Q9NUP1_IDR_1_56	0
Q96DU7_IDR_333_385	0
Q5TBA9_IDR_1743_1785	0
P0DP91_IDR_1_72	0
Q03468_IDR_1_91	0
O94887_IDR_858_903	0
A2A288_IDR_46_83	0
Q8IZ69_IDR_591_625	0
Q8WZ55_IDR_167_243	0
Q562E7_IDR_1522_1555	0
Q96HR8_IDR_1_169	0
Q6ZMQ8_IDR_1253_1297	0
Q7Z6L1_IDR_402_482	0
Q9UMX0_IDR_1_33	0
Q9H171_IDR_281_317	0
Q9BSJ8_IDR_604_634	0
Q8IYI0_IDR_1_72	0
Q8N1F8_IDR_723_773	0
Q9H0E7_IDR_682_712	0
Q9UPU9_IDR_419_482	0
O00590_IDR_338_384	0
Q8NFA0_IDR_433_478	0
A8MW95_IDR_20_80	0
O94966_IDR_874_983	0
Q9H9B1_IDR_653_705	0
P16112_IDR_679_2281	0
Q9P2S6_IDR_370_444	0
O15432_IDR_56_86	0
Q9H6E5_IDR_227_317	0
Q6BDS2_IDR_1137_1184	0
Q12756_IDR_1402_1443	0
O43283_IDR_1_111	0
Q58EX7_IDR_33_177	0
Q8NB90_IDR_207_302	0
Q96QT6_IDR_973_1004	0
Q9Y397_IDR_297_364	0
Q9H0F6_IDR_121_167	0
Q08050_IDR_684_715	0
O75970_IDR_340_371	0
Q8NEB7_IDR_124_278	0
P43355_IDR_1_95	0
P43357_IDR_1_103	0
P43360_IDR_1_103	0
P43362_IDR_1_100	0
Q9UBF1_IDR_1_136	0
P43358_IDR_1_104	0
P43356_IDR_1_103	0
P43361_IDR_1_106	0
P43365_IDR_1_103	0
Q8TD91_IDR_313_449	0
P43364_IDR_1_216	0
O15481_IDR_1_105	0
A8MXT2_IDR_1_105	0
P43366_IDR_1_104	0
P43363_IDR_1_128	0
O14529_IDR_1224_1457	0
O94983_IDR_814_1022	0
O60732_IDR_1_901	0
O94983_IDR_447_490	0
Q5VST9_IDR_6770_7273	0
Q93008_IDR_1_63	0
O00507_IDR_1_64	0
Q2LD37_IDR_2929_2963	0
Q6GYQ0_IDR_321_387	0
Q9BYV6_IDR_447_532	0
C9J7I0_IDR_28_81	0
Q96C00_IDR_144_366	0
Q9H9Z2_IDR_1_36	0
P35250_IDR_1_33	0
Q96Q15_IDR_1870_1920	0
Q6UX68_IDR_330_397	0
Q6P4H8_IDR_1_32	0
P0C7T8_IDR_168_217	0
Q13474_IDR_873_957	0
P56645_IDR_875_1095	0
Q86UB2_IDR_1_33	0
O00337_IDR_1_60	0
Q13615_IDR_581_992	0
P32314_IDR_1_110	0
Q5VV43_IDR_163_265	0
Q8N612_IDR_462_730	0
Q66K64_IDR_275_383	0
Q5QP82_IDR_1_60	0
P35523_IDR_875_988	0
Q9C0A1_IDR_1_106	0
Q5D1E8_IDR_91_131	0
O95866_IDR_168_210	0
Q6ZVX7_IDR_1_50	0
O75150_IDR_111_177	0
P24043_IDR_2714_2745	0
O14556_IDR_22_72	0
Q702N8_IDR_1_42	0
P13631_IDR_421_454	0
O14686_IDR_4908_4975	0
Q9UIG4_IDR_18_136	0
Q8NDL9_IDR_343_417	0
Q5TD94_IDR_1_203	0
Q8N8U3_IDR_397_427	0
Q8IV50_IDR_121_173	0
Q9NZN9_IDR_328_384	0
Q6UWE0_IDR_636_669	0
Q9Y676_IDR_228_258	0
Q8TDT2_IDR_319_470	0
Q8TCT7_IDR_506_592	0
Q8N9W5_IDR_459_541	0
Q9Y2I1_IDR_1018_1105	0
Q12967_IDR_252_364	0
Q5KSL6_IDR_1_214	0
P29590_IDR_1_50	0
Q9H9D4_IDR_174_346	0
Q7Z6L0_IDR_1_262	0
Q9UJJ7_IDR_258_292	0
O75121_IDR_341_379	0
Q96T21_IDR_785_815	0
Q13487_IDR_264_304	0
Q96NA2_IDR_349_401	0
A6NGR9_IDR_30_90	0
Q8NDY8_IDR_164_209	0
Q9HBB8_IDR_702_773	0
Q6ZQN7_IDR_1_85	0
